Time [s],Channel 0,Channel 1
0.000000000,1,1
17.544970990,0,1
17.544982778,0,0
17.545025322,0,1
17.545048528,1,1
17.545067866,1,0
17.545108922,1,1
17.545151456,1,0
17.545192508,1,1
17.545213918,0,1
17.545234060,0,0
17.545275120,0,1
17.545316680,0,0
17.545357752,0,1
17.545380958,1,1
17.545400298,1,0
17.545441368,1,1
17.545483922,1,0
17.545524992,1,1
17.545546414,0,1
17.545566562,0,0
17.545607636,0,1
17.545649202,0,0
17.545692738,0,1
17.545715948,1,1
17.545735292,1,0
17.545773416,1,1
17.545815970,1,0
17.545860486,1,1
17.597382802,0,1
17.597394592,0,0
17.597437140,0,1
17.597478708,0,0
17.597519782,0,1
17.597561352,0,0
17.597602430,0,1
17.597625638,1,1
17.597644978,1,0
17.597686048,1,1
17.597707474,0,1
17.597727628,0,0
17.597768704,0,1
17.597791916,1,1
17.597811258,1,0
17.597852330,1,1
17.597894880,1,0
17.597935952,1,1
17.597957374,0,1
17.597977522,0,0
17.598018596,0,1
17.598060170,0,0
17.598103704,0,1
17.598145274,0,0
17.598183400,0,1
17.598206608,1,1
17.598225948,1,0
17.598270462,1,1
17.617429246,0,1
17.617441036,0,0
17.617483590,0,1
17.617525162,0,0
17.617566242,0,1
17.617607820,0,0
17.617648902,0,1
17.617690472,0,0
17.617731558,0,1
17.617773132,0,0
17.617814212,0,1
17.617837426,1,1
17.617856768,1,0
17.617897848,1,1
17.617940404,1,0
17.617981484,1,1
17.618024044,1,0
17.618065120,1,1
17.618107676,1,0
17.618151216,1,1
17.618193774,1,0
17.618231898,1,1
17.618274454,1,0
17.618318968,1,1
17.621945142,0,1
17.621956930,0,0
17.621999478,0,1
17.622041048,0,0
17.622082124,0,1
17.622123698,0,0
17.622164784,0,1
17.622187998,1,1
17.622207340,1,0
17.622248414,1,1
17.622269836,0,1
17.622289990,0,0
17.622331066,0,1
17.622354276,1,1
17.622373618,1,0
17.622414690,1,1
17.622457242,1,0
17.622498314,1,1
17.622519736,0,1
17.622539888,0,0
17.622580968,0,1
17.622622538,0,0
17.622666076,0,1
17.622707652,0,0
17.622745782,0,1
17.622768996,1,1
17.622788338,1,0
17.622832860,1,1
17.629610282,0,1
17.629622070,0,0
17.629664622,0,1
17.629706196,0,0
17.629747286,0,1
17.629788862,0,0
17.629829944,0,1
17.629871520,0,0
17.629912602,0,1
17.629954178,0,0
17.629995256,0,1
17.630018470,1,1
17.630037812,1,0
17.630078890,1,1
17.630121446,1,0
17.630162524,1,1
17.630205086,1,0
17.630246160,1,1
17.630288714,1,0
17.630332252,1,1
17.630374804,1,0
17.630412924,1,1
17.630455484,1,0
17.630499996,1,1
17.634125188,0,1
17.634136978,0,0
17.634179534,0,1
17.634202746,1,1
17.634222088,1,0
17.634263162,1,1
17.634305720,1,0
17.634346796,1,1
17.634368222,0,1
17.634388376,0,0
17.634429458,0,1
17.634471032,0,0
17.634512116,0,1
17.634535328,1,1
17.634554670,1,0
17.634595746,1,1
17.634638310,1,0
17.634679390,1,1
17.634700814,0,1
17.634720970,0,0
17.634762056,0,1
17.634803634,0,0
17.634847176,0,1
17.634870388,1,1
17.634889734,1,0
17.634927864,1,1
17.634970422,1,0
17.635014940,1,1
17.701085962,0,1
17.701097752,0,0
17.701140306,0,1
17.701163516,1,1
