Time [s],Channel 0,Channel 1
0.000000000,1,1
19.480040326,0,1
19.480052124,0,0
19.480094710,0,1
19.480136312,0,0
19.480177424,0,1
19.480219022,0,0
19.480260132,0,1
19.480283360,1,1
19.480302718,1,0
19.480343824,1,1
19.480365264,0,1
19.480385432,0,0
19.480426542,0,1
19.480449770,1,1
19.480469126,1,0
19.480510230,1,1
19.480552818,1,0
19.480593918,1,1
19.480615360,0,1
19.480635530,0,0
19.480676648,0,1
19.480718258,0,0
19.480761834,0,1
19.480803442,0,0
19.480841600,0,1
19.480864828,1,1
19.480884184,1,0
19.480928736,1,1
19.480946502,1,0
19.488718430,1,1
19.491269458,0,1
19.491281258,0,0
19.491323840,0,1
19.491347072,1,1
19.491366428,1,0
19.491407534,1,1
19.491450122,1,0
19.491491228,1,1
19.491512666,0,1
19.491532836,0,0
19.491573956,0,1
19.491597196,1,1
19.491616558,1,0
19.491657682,1,1
19.491679130,0,1
19.491699308,0,0
19.491740438,0,1
19.491763682,1,1
19.491783048,1,0
19.491824178,1,1
19.491845624,0,1
19.491865798,0,0
19.491906924,0,1
19.491948544,0,0
19.491992134,0,1
19.492015376,1,1
19.492034740,1,0
19.492072908,1,1
19.492072912,1,0
19.492072916,1,1
19.492115518,1,0
19.492160090,1,1
19.492178316,1,0
19.496717752,1,1
19.548668076,0,1
19.548679874,0,0
19.548722464,0,1
19.548764064,0,0
19.548805180,0,1
19.548846782,0,0
19.548887892,0,1
19.548929500,0,0
19.548970614,0,1
19.549012214,0,0
19.549053322,0,1
19.549076556,1,1
19.549095912,1,0
19.549137020,1,1
19.549179604,1,0
19.549220706,1,1
19.549263296,1,0
19.549304404,1,1
19.549346998,1,0
19.549390564,1,1
19.549433148,1,0
19.549471298,1,1
19.549513882,1,0
19.549558426,1,1
19.553187210,0,1
19.553199006,0,0
19.553241588,0,1
19.553283190,0,0
19.553324298,0,1
19.553365898,0,0
19.553407010,0,1
19.553430240,1,1
19.553449596,1,0
19.553490700,1,1
19.553512136,0,1
19.553532302,0,0
19.553573406,0,1
19.553596636,1,1
19.553615988,1,0
19.553657092,1,1
19.553699678,1,0
19.553740780,1,1
19.553762216,0,1
19.553782384,0,0
19.553823490,0,1
19.553865090,0,0
19.553908658,0,1
19.553950260,0,0
19.553988412,0,1
19.554011640,1,1
19.554030996,1,0
19.554075546,1,1
19.557703458,0,1
19.557715256,0,0
19.557757840,0,1
19.557799438,0,0
19.557840546,0,1
19.557882152,0,0
19.557923256,0,1
19.557964858,0,0
19.558005966,0,1
19.558047570,0,0
19.558088680,0,1
19.558111914,1,1
19.558131268,1,0
19.558172376,1,1
19.558214962,1,0
19.558256072,1,1
19.558298662,1,0
19.558339766,1,1
19.558382360,1,0
19.558425930,1,1
19.558468518,1,0
19.558506674,1,1
19.558549262,1,0
19.558593812,1,1
19.562221998,0,1
19.562233796,0,0
19.562276382,0,1
19.562299620,1,1
19.562318976,1,0
19.562360086,1,1
19.562402680,1,0
19.562443792,1,1
19.562465234,0,1
19.562485404,0,0
19.562526516,0,1
19.562549748,1,1
19.562569106,1,0
19.562610220,1,1
19.562631660,0,1
19.562651830,0,0
19.562692944,0,1
19.562716174,1,1
19.562735532,1,0
19.562776638,1,1
19.562798076,0,1
19.562818246,0,0
19.562859358,0,1
19.562900964,0,0
19.562944538,0,1
19.562967768,1,1
19.562987126,1,0
19.563025278,1,1
19.563067870,1,0
19.563112424,1,1
19.570853978,1,0
19.576717468,1,1
19.695345792,0,1
19.695357592,0,0
19.695400180,0,1
19.695441784,0,0
19.695482896,0,1
19.695524504,0,0
19.695565616,0,1
19.695588846,1,1
19.695608204,1,0
19.695649312,1,1
19.695670752,0,1
19.695690920,0,0
19.695732032,0,1
19.695755262,1,1
19.695774618,1,0
19.695815726,1,1
19.695858314,1,0
19.695899424,1,1
19.695920862,0,1
19.695941032,0,0
19.695982146,0,1
19.696023752,0,0
19.696067326,0,1
19.696108934,0,0
19.696147090,0,1
19.696170320,1,1
19.696189680,1,0
19.696234232,1,1
19.696252026,1,0
19.696718526,1,1
19.699862592,0,1
19.699874390,0,0
19.699916978,0,1
19.699940206,1,1
19.699959562,1,0
19.700000668,1,1
19.700043258,1,0
19.700084366,1,1
19.700105806,0,1
19.700125972,0,0
19.700167082,0,1
19.700208690,0,0
19.700249814,0,1
19.700273058,1,1
19.700292424,1,0
19.700333560,1,1
19.700376172,1,0
19.700417288,1,1
19.700438730,0,1
19.700458900,0,0
19.700500014,0,1
19.700541618,0,0
19.700585192,0,1
19.700608426,1,1
19.700627782,1,0
19.700665938,1,1
19.700708532,1,0
19.700753092,1,1
19.700771648,1,0
19.704710566,1,1
19.717437160,0,1
19.717448958,0,0
19.717491548,0,1
19.717533156,0,0
19.717574268,0,1
19.717615876,0,0
19.717656990,0,1
19.717698598,0,0
19.717739710,0,1
19.717781318,0,0
19.717822428,0,1
19.717845660,1,1
19.717865016,1,0
19.717906128,1,1
19.717948718,1,0
19.717989828,1,1
19.718032426,1,0
19.718073534,1,1
19.718116126,1,0
19.718159696,1,1
19.718202286,1,0
19.718240436,1,1
19.718283026,1,0
19.718327582,1,1
19.721955660,0,1
19.721967460,0,0
19.722010044,0,1
19.722033276,1,1
19.722052630,1,0
19.722093740,1,1
19.722136328,1,0
19.722177436,1,1
19.722198876,0,1
19.722219046,0,0
19.722260156,0,1
19.722301760,0,0
19.722342870,0,1
19.722366102,1,1
19.722385458,1,0
19.722426566,1,1
19.722469152,1,0
19.722510258,1,1
19.722531698,0,1
19.722551864,0,0
19.722592976,0,1
19.722634584,0,0
19.722678158,0,1
19.722701390,1,1
19.722720748,1,0
19.722758904,1,1
19.722801494,1,0
19.722846044,1,1
19.729628888,0,1
19.729640686,0,0
19.729683274,0,1
19.729724880,0,0
19.729765992,0,1
19.729807598,0,0
19.729848710,0,1
19.729890318,0,0
19.729931436,0,1
